id,movie_name,movie_description,movie_trailer,movie_genres,movie_release,movie_lenght,movie_format,movie_image_poster
1,"DORAEMON - NOBITA VÀ CUỘC PHIÊU LƯU VÀO THẾ GIỚI TRONG TRANH","Thông qua món bảo bối mới của Doraemon, cả nhóm bạn bước thế giới trong một bức tranh nổi tiếng và bắt gặp cô bạn bí ẩn tên Claire. Với lời mời của Claire, cả nhóm cùng đến thăm vương quốc Artoria, nơi ẩn giấu một viên ngọc quý mang tên Artoria Blue đang ngủ yên. Trên hành trình tìm kiếm viên ngọc, nhóm bạn Doraemon phát hiện một truyền thuyết về sự hủy diệt của thế giới, mà truyền thuyết đó dường như đang sống dậy! Liệu cả nhóm có thể phá hủy lời nguyền này và bảo vệ cả thế giới?",https://www.youtube.com/watch?v=Qs-yOanuK9c,"Phiêu lưu,Hoạt hình",2025-05-23,01:40:00,2d,https://metiz.vn/media/poster_film/dora.jpg
2,"ÚT LAN - OÁN LINH GIỮ CỦA","Sau sự ra đi của cha, Lan (Phương Thanh) về một vùng quê và ở đợ cho nhà ông Danh (Mạc Văn Khoa) - một người đàn ông góa vợ, không con cái. Ngay sau khi bước chân vào căn nhà, Lan phải đối mặt với hàng loạt hiện tượng kỳ dị và những cái chết bí ẩn liên tục xảy ra. Cùng với Sơn (Quốc Trường) - một nhà văn chuyên viết truyện kinh dị, Lan bắt đầu lật mở những bí mật kinh hoàng, khám phá lịch sử đen tối của căn nhà.",https://www.youtube.com/watch?v=4P_pYwuaRDM&t=4s,"Kinh dị",2025-06-20,01:20:00,2d,https://metiz.vn/media/poster_film/ut_lan.jpg
3,F1®,"Sonny Hayes (Brad Pitt) được mệnh danh là "Huyền thoại chưa từng được gọi tên" là ngôi sao sáng giá nhất của FORMULA 1 trong những năm 1990 cho đến khi một vụ tai nạn trên đường đua suýt nữa đã kết thúc sự nghiệp của anh.. Ba mươi năm sau, Sonny trở thành một tay đua tự do, cho đến khi người đồng đội cũ của anh, Ruben Cervantes (Javier Bardem), chủ sở hữu một đội đua F1 đang trên bờ vực sụp đổ, tìm đến anh. Ruben thuyết phục Sonny quay lại với F1® để có một cơ hội cuối cùng cứu lấy đội và khẳng định mình là tay đua xuất sắc nhất thế giới. Anh sẽ thi đấu cùng Joshua Pearce (Damson Idris), tay đua tân binh đầy tham vọng của đội, người luôn muốn tạo ra tốc độ của riêng mình. Tuy nhiên, khi động cơ gầm rú, quá khứ của Sonny sẽ đuổi theo anh và anh nhận ra rằng trong F1, người đồng đội chính là đối thủ cạnh tranh lớn nhất—và con đường chuộc lại lỗi lầm không phải là điều có thể đi một mình.",https://www.youtube.com/watch?v=8yh9BPUBbbQ,"Hành động",2025-06-25,02:20:00,2d,https://metiz.vn/media/poster_film/F01.jpg
4,"BÍ KÍP LUYỆN RỒNG","Câu chuyện về một chàng trai trẻ với ước mơ trở thành thợ săn rồng, nhưng định mệnh lại đưa đẩy anh đến tình bạn bất ngờ với một chú rồng.",https://www.youtube.com/watch?v=xpWLaHtfyxg,"Phiêu lưu,Hành động,Hoạt hình,Thần thoại",2025-06-12,02:06:00,2d,https://metiz.vn/media/poster_film/hdg_payoff_470x700.jpg
5,"WOLFOO VÀ CUỘC ĐUA TAM GIỚI","Wolfoo - chú sói tỷ view của Youtube, IP hoạt hình Việt nổi tiếng, được phát hành tại 181 quốc gia toàn cầu, sẽ bước lên màn ảnh rộng với phiên bản điện ảnh chất lượng cao, đem tới cuộc phiêu lưu chưa từng có tại Wolfoo - Cuộc Đua Tam Giới cùng những thước phim “tuyệt đối giải trí” cho mọi trẻ em Việt. “Mình không còn ở Neverland nữa hả ba?” - Chuyến ”du lịch” bất đắc dĩ tới Tam giới của cha con Wolfoo & Wulfen mở ra một cuộc phiêu lưu chưa từng có. Rời xa ngôi nhà tại Neverland thân thuộc, Wolfoo và Wulfen bị cuốn vào một cuộc đua và phải ngăn chặn một thảm hoạ diệt vong quê nhà cùng cơn thịnh nộ của Chúa tể Idra. Tham gia vào cuộc đua gay cấn với sự dẫn dắt của chủ đội đua Ali meo meo - cô mèo 500 năm tuổi, cha con Wolfoo - Wulfen không chỉ cùng nhau vượt qua nhiều chặng đua gay cấn, nguy hiểm mà còn khám phá ra những bí mật của Ngoại giới bất khả xâm phạm. Trên hết, Wolfoo đã học được những bài học trưởng thành vô giá về tình bạn, tình đồng đội và đặc biệt, là tình cha con.",https://www.youtube.com/watch?v=kytRhubMOxY,"Phiêu lưu,Hành động,Hoạt hình",2025-07-11,01:40:00,2d,https://metiz.vn/media/poster_film/wolfoo.jpg
6,"ELIO - CẬU BÉ ĐẾN TỪ TRÁI ĐẤT","Elio là một cậu bé đam mê vũ trụ với trí tưởng tượng phong phú. Một hôm, cậu bất ngờ phải tham gia một cuộc phiêu lưu ngoài vũ trụ, nơi cậu phải xây dựng mối quan hệ mới với các dạng sống ngoài hành tinh. Elio phải vượt qua cuộc chiến ở quy mô liên thiên hà và khám phá ra con người thực sự của mình",https://www.youtube.com/watch?v=zrExnd8Tbc0,"Phiêu lưu,Hoạt hình",2025-06-27,01:37:00,2d,https://metiz.vn/media/poster_film/elio.jpg
7,"HALABALA - RỪNG MA TẾ XÁC",""Thanh tra Dan – kẻ mang biệt danh rùng rợn “Dan Trăm Xác” – là một cảnh sát liều mạng, nổi tiếng với quá khứ đẫm máu và những phi vụ bất chấp luật lệ. Sau một sai lầm kinh hoàng trong lúc thực hiện nhiệm vụ, Dan bị giáng chức và chuyển công tác về vùng hẻo lánh. Với nổ lực để có cơ hội trở lại Bangkok – anh cần bắt được Tup Ta Fai: tên trùm tội phạm loạn trí vừa trốn khỏi ngục, hiện đang ẩn náu trong khu rừng cấm Halabala. Thế nhưng, Halabala không phải một khu rừng bình thường. Nơi đây bị nguyền rủa bởi truyền thuyết quỷ Bataya và Batow – tộc người ăn thịt từng sống trong rừng sâu và đang nuôi dưỡng con quỷ Bataya bằng hận thù và xác người. Trong cuộc truy đuổi đẫm máu giữa rừng thiêng, Dan không chỉ phải đối đầu với Ta Fai, mà còn bị ám ảnh bởi những tiếng gọi ma quái, những ám ảnh dị dạng và nỗi sợ sâu kín nhất của chính anh. Khi vợ anh – Vi – đang mang thai sắp sinh và lạc giữa rừng, Dan buộc phải chọn: công lý… hay sự an toàn của gia đình mình? Halabala không chỉ là cuộc săn đuổi, mà là hành trình trượt dài vào vực thẳm của tâm trí – nơi ranh giới giữa con người và quỷ dữ trở nên mờ dần..."",https://www.youtube.com/watch?v=hSSWen_8Xvg,"Kinh dị",2025-06-27,01:30:00,2d,https://metiz.vn/media/poster_film/hala.jpg
8,"M3GAN 2.0","Phim lấy bối cảnh 2 năm sau các sự kiện ở phần 1. Lúc này, Gemma phát hiện công nghệ sản xuất MEGAN đã bị đánh cắp. Kẻ gian đã tạo ra một robot AI khác với chức năng tương tự MEGAN, nhưng được trang bị sức mạnh chiến đấu "khủng" hơn mang tên Amelia. Để "đối đầu" với Amelia, Gemma buộc phải "hồi sinh" và cải tiến MEGAN, hứa hẹn một trận chiến "nảy lửa" trên màn ảnh vào năm 2025.",https://www.youtube.com/watch?v=_XWEds8BNJs,"Khoa học viễn tưởng,Kinh dị",2025-06-27,02:00:00,2d,https://metiz.vn/media/poster_film/mg2_HaySwNv.jpg
9,"BĂNG ĐẢNG QUÁI KIỆT 2","Biệt đội Bad Guys đang cố gắng lấy lại sự tin tưởng của mọi người sau khi hoàn lương, nhưng mọi nỗ lực sụp đổ khi họ bị kéo vào "phi vụ cuối cùng" do nhóm Bad Girls cầm đầu. Liệu họ sẽ giữ vững lý tưởng chính nghĩa, hay lại bị cuốn vào con đường tội phạm đã từng cố gắng rời bỏ?",https://www.youtube.com/watch?v=IPqkexgr-ZQ,"Hài,Hoạt hình",2025-08-01,01:40:00,2d,https://metiz.vn/media/poster_film/bangdang.jpg
10,"THÁM TỬ LỪNG DANH CONAN - DƯ ẢNH CỦA ĐỘC NHÃN","Conan Movie 28 chứng kiến spotlight thuộc về thám tử Mori Kogoro và bộ ba thanh tra tỉnh Nagano",https://www.youtube.com/watch?v=dz5mN-iIC4g,"Tình cảm,Hoạt hình,Bí Ẩn",2025-07-25,02:20:00,2d,https://metiz.vn/media/poster_film/conan.jpg
11,"LÀM GIÀU VỚI MA 2","Hành trình đầy bi hài của 5 con người với những toan tính khác nhau nhằm đưa thi thể minh tinh Anh Thư (Ngọc Xuân) về quê nhà, đổi lại, hồn ma của cô hứa sẽ trả cho họ chiếc nhẫn kim cương trị giá 9 tỷ. Ai sẽ là người giành được phần thưởng, hay chuyến đi sẽ bộc lộ phần xấu xa nhất bên trong họ?",https://www.youtube.com/watch?v=qq4l_rficuw,"Hành động,Hài,Tâm Lý",2025-09-02,01:40:00,2d,https://metiz.vn/media/poster_film/lamgiauvoima2Firstlook.jpg
12,"MƯA ĐỎ","“Mưa Đỏ” - Phim truyện điện ảnh về đề tài chiến tranh cách mạng, kịch bản của nhà văn Chu Lai, lấy cảm hứng và hư cấu từ sự kiện 81 ngày đêm chiến đấu anh dũng, kiên cường của nhân dân và cán bộ, chiến sĩ bảo vệ Thành Cổ Quảng Trị năm 1972. Tiểu đội 1 gồm toàn những thanh niên trẻ tuổi và đầy nhiệt huyết là một trong những đơn vị chiến đấu, bám trụ tại trận địa khốc liệt này. Bộ phim là khúc tráng ca bằng hình ảnh, là nén tâm nhang tri ân và tưởng nhớ những người con đã dâng hiến tuổi thanh xuân cho đất nước, mang âm hưởng của tình yêu, tình đồng đội thiêng liêng, là khát vọng hòa bình, hoà hợp dân tộc của nhân dân Việt Nam.",https://www.youtube.com/watch?v=-Ir9rPvqwuw,"Hành động,Lịch Sử",2025-09-02,02:00:00,2d,https://metiz.vn/media/poster_film/muado.jpg
